text,start,duration
"romantic attraction. You might’ve felt like
your eyes were open to a whole new world that",274.06,3.98
your pals were still blind to.,278.04,1.85
"And when you tried to explain to them what
had happened to you? And how you felt?",279.89,3.06
"They probably thought you were crazy. And
the feeling was probably mutual.",282.95,3.9
"And this is what our poor protagonist goes
through when he re-enters the cave.",286.85,3.73
So why does Plato tell us this story?,290.58,1.73
"It’s not just about little a-ha moments,
like when we discovered that bears and boys",292.31,3.66
"were not what we once thought they were. It’s
more than that.",295.97,3.08
"Plato wants us to see that we, right now,
are prisoners in a cave.",299.05,3.78
"Everything in our world is actually a mere
shadow of a higher reality.",302.83,3.43
"Just as the man in the story once mistook
shadows for real things, we are currently",306.26,3.77
prisoners in a cave of our own.,310.03,1.89
"But rather than mistaking shadows for the
material objects of the ordinary world, our",311.92,4.21
"mistake is thinking that the material objects
of the ordinary world are the most real things.",316.13,5.2
"In fact, Plato says, the physical world that we think is the most real, is actually a mere shadow of a higher truth.",321.33,6.5
"If this surprises you, think about how many
beliefs were once accepted as absolute fact",327.83,4.15
"– only to later turn out to be completely
false –",331.98,2.25
"The shape of the earth. The idea that the
Earth was the center of the universe.",334.23,3.34
"The belief that heroin, and tobacco, and lobotomies
were good for people.",337.57,4.4
"Those so-called facts turned out to be far
from the truth.",341.97,2.41
"So, there’s a lot packed into this little
story.",344.38,2.33
"Plato is urging you to consider that the
world is not really as it seems.",346.71,3.52
"And making a statement about philosophy.
Doing philosophy is hard.",350.23,4.26
Accepting that much of what you’ve always believed might actually be false can make you uncomfortable.,354.49,5.14
You might feel temporarily blinded.,359.63,1.87
"You may learn just enough to know that your
old beliefs aren’t reliable, but you don’t",361.5,3.76
"yet know enough to feel comfortable with these
new ideas, either.",365.26,2.79
"What’s more, your old friends, who aren’t on this journey with you, might think you’ve lost your mind.",368.05,4.17
"Or they might take you for an arrogant, pedantic
jerk who thinks they have all the answers.",372.22,4.14
But philosophy is also awesome.,376.37,1.86
"Because, once you get through the growing
pains, you can see things in a new way, and",378.23,3.39
"you can see through things that used to fool
you.",381.62,2.24
"And that brings us to another puzzle. Consider
this argument:",383.86,2.56
"No cat has 2 tails. Every cat has one more
tail than no cat. Therefore, every cat has 3 tails.",386.42,6.64
"Now, you’re probably thinking, that’s just
clearly wrong. That’s not much of a puzzle.",393.06,3.92
"I mean, the two premises sound right enough.
But the conclusion is … wha?",396.98,3.97
"This puzzle exploits a strangeness in the
language that we use to discuss certain ideas",400.95,4.27
"-- specifically the ideas of nothingness,
absence, or emptiness.",405.22,3.78
"In premise 1, ‘no cat’ refers to an absence
of cats.",409.0,3.44
"Think about things with 2 tails, and none
of those things you think of are cats. Because",412.44,3.83
"you probably can’t even think of anything
with two tails.",416.27,2.57
"But in premise 2, the language tricks us into
understanding ‘No-Cat’ as an existent thing,",418.84,4.6
"rather than an absence of a thing.
The way it’s phrased, No-Cat could conceivably",423.44,4.54
be that elusive creature that has 2 tails.,427.99,2.84
"So this leads us to the conclusion that, if
the No-Cat has 2 tails, and every cat has",430.83,4.63
"one more tail than it does, then every cat
must have 3 tails! Which is just wrong.",435.46,5.58
"And it takes a moment to understand the source
of our confusion.",441.04,2.68
"The conclusion is faulty, because it mistakes the absence of something for the presence of something.",443.72,4.84
"But it strikes us as plausible, on some level,
because language has duped us into considering",448.56,4.4
"a reality where a creature called No Cat with
two tails is actually a thing.",452.96,4.24
"Figuring out puzzles like this is kind of
like flipping a switch -- first you’re confused,",457.2,4.02
"and then the cause of the confusion seems
obvious.",461.23,2.17
"It’s just a matter of sorting through what’s
really real.",463.4,2.74
"And Plato thinks philosophy is like that too
-- going from the darkness into the light",466.14,3.58
is both disorienting and rewarding.,469.72,1.98
"It’s kinda too bad in this case, though.
Because: a cat with three tails? I’d kind",471.7,2.91
"of like to see that. Though, to be honest
I’d mostly just like looking at any cat.",474.61,4.0
"And with that, we wrap up this episode of
Crash Course Philosophy. Today we learned",478.61,3.14
"about Plato’s famous Myth of the Cave, questioned
the relationship between appearance and reality,",481.75,5.14
"and talked about the process of philosophical
discovery.",486.89,2.7
"Next time, we’re going to disappear even
deeper into the hole of shadow and disbelief",489.59,4.66
"– all in the hopes of eventually emerging
into the light.",494.25,3.64
"This episode is brought to you by Squarespace.
Squarespace helps to create websites, blogs",497.89,5.23
"or online stores for you and your ideas. Websites
look professionally designed regardless of",503.12,4.97
"skill level, no coding required. Try Squarespace at
squarespace.com/crashcourse for a special offer.",508.09,6.55
"Crash Course Philosophy is produced in association
with PBS Digital Studios. You can head over",514.64,4.299
"to their channel to check out amazing shows
like Shanx FX, Gross Science, and PBS Game/Show.",518.939,5.78
"This episode of Crash Course was filmed in
the Doctor Cheryl C. Kinney Crash Course Studio",524.72,3.76
"with the help of all of these amazing people
and our Graphics Team is Thought Cafe.",528.49,4.26
