text,start,duration
"And a skeptic is someone who questions whether
it’s possible to know anything with certainty.",132.56,4.68
And Descartes was the mac daddy of all skeptics.,137.24,3.06
"He was so skeptical, named a form of skepticism
after him – Cartesian Skepticism!",140.3,5.24
Why was Descartes so skeptical?,145.54,1.8
"Well, he realized that many of the beliefs
he used to hold were actually false. We all",147.34,3.7
"go through this; it’s part of what we call
growing up.",151.04,2.13
"Learning the horrible truth about Santa and
the tooth fairy. That you can’t actually",153.17,3.7
"buy everything you want and need for just $100.
That your parents don't really have all the answers.",156.87,5.07
"But realizing that he used to believe things
that were false really got Descartes to thinking.",161.94,4.1
"Because: When he believed those things, he
didn’t realize they were false.",166.04,3.04
"So what if some of the things he still believed were also false, and he just hadn’t realized it yet?",169.08,4.68
How could he know that his beliefs were true?,173.76,2.38
"Well, after a bit of a freak out, Descartes
realized that the only way to make sure he",176.14,3.709
"wasn’t holding any false beliefs was to
disbelieve everything. At least temporarily.",179.849,5.42
"He offered this as an analogy: Imagine you
have a basket of apples, and you’re concerned",185.269,3.69
that some of the apples might be rotten.,188.959,1.73
"Since the rot could spread and ruin the fresh
apples, the only way to make sure there’s",190.689,3.561
"no rot in the basket is to dump out all the
fruit, inspect each apple in turn, and return",194.25,4.909
only the fresh apples to the basket.,199.159,1.961
"Knowing that, just like rotten fruit, a rotten idea
can spread and infect all the ideas around it,",201.12,4.8
"Descartes up-ended the apple basket of
his beliefs and decided to start from scratch.",205.92,4.88
"If he examined each possible belief carefully,
and only accepted those about which there",210.81,4.319
"could be no doubt, then he’d know he was
believing only true things.",215.129,3.86
"So, Descartes began the arduous task of examining
his beliefs one by one.",218.989,3.571
He started with empirical beliefs – things we come to know directly through the use of our senses.,222.56,4.38
"And many of us think that our senses are the
most reliable source of information. If I",226.95,4.009
"can see it, and hear it, touch it, taste it,
smell it, I must know it, right?",230.959,4.221
"Not so much. Descartes pointed out that our
senses fail us all the time.",235.18,3.44
"You rush to catch up to a friend and realize,
as she turns around, that your eyes played",238.62,3.479
"some tricks on you, and you’ve just tapped
the shoulder of a perfect stranger.",242.099,3.241
"Food tastes wrong when you’re sick. Drink
too much and you feel like the room is spinning.",245.34,4.11
"Water that’s room temperature feels hot
when you come inside after playing in the snow.",249.45,3.769
The list goes on – you can probably think of countless times when your senses gave you faulty information.,253.219,4.76
"And once you realize that, how can you ever
trust your senses again?",257.98,3.2
"And for Descartes, disbeliever of everything,
iit got worse.",261.18,3.12
"Have you ever had a dream so vivid you thought
you were awake?",264.31,2.8
"You’ve probably had a dream that you were
dreaming, or dreamed that you woke up from",267.11,4.71
"a dream, but in fact were still in the dream.",271.82,2.25
"Not everyone has had these experiences, but
many of us have, and given that we don’t",274.07,3.24
"always know that we’re dreaming while it’s
happening...",277.31,2.46
"HOW DO WE KNOW WE’RE NOT DREAMING RIGHT
NOW?!",279.77,1.63
"Maybe you just think you’re watching Crash Course,
but in fact, you’re cozied up in bed, dreaming about me.",281.4,4.7
"Which, hey, like, who could blame you?",286.1,1.7
"But really, when you think about it, can you
be SURE it’s not the case?",287.81,2.91
"Now, you might be thinking, ok, sure, I probably
deceive myself from time to time, without",290.72,3.77
"knowing I’m doing it. But dreams end. And
when I wake up, I realize that what I thought",294.49,4.71
I was experiencing was all in my head.,299.2,1.88
"And the same is true for when my senses let
me down.",301.08,2.62
"Those are just temporary instances, isolated
to a particular situation. As soon as the",303.7,4.0
"situation changes, I can realize that my experience
was false.",307.7,3.53
"This quality – the ability to check in with
yourself and figure out that you’re experiencing",311.23,4.13
"a deception – describes what Descartes called
local doubts.",315.36,3.48
"Those are doubts about a particular sense experience, or some other occurrence at a particular point in time.",318.84,5.1
"Step out of that point, and you can check
to determine if you’ve been deceived.",323.94,3.62
But what if ... EVERYTHING IS A DECEPTION?,327.57,2.61
"What if everyone is experiencing the same
false reality, from birth until death? What",330.18,4.89
"if nothing is as it seems, just like in The
Matrix?",335.07,2.75
"This type of doubt, the kind you can’t step out of,
and thus can’t check, is called global doubt.",337.82,4.56
"And it’s the subject of this week’s Flash Philosophy.
Let’s go to the Thought Bubble.",342.38,3.9
"Philosopher Bertrand Russell illustrated the
concept of global doubt with this troubling thought:",346.28,4.74
"What if the universe was created just five
minutes ago?",351.02,4.11
"In this scenario, known as the Five Minute
Hypothesis, the creator of the universe could",355.13,3.96
"have designed many elements of the world to
make them appear “pre-worn,” so as to seem old.",359.09,5.7
"From dinosaur bones – fashioned by the creator,
and planted for us to find, to that scar on",364.79,4.61
"your knee – put there by the creator, along with
the pre-loaded false memory of how you got it.",369.41,4.39
"It seems crazy, but there’s just no way
to prove that it isn’t the case.",373.8,3.82
"The question for Russell was -- does it matter?
Descartes thought it did.",377.63,3.91
"But as a good Catholic, he couldn’t fathom
a world in which God would plant globally",381.54,4.01
false beliefs in all of our minds.,385.55,1.86
"So instead, he posited the existence of an
Evil Genius, whose purpose in life was to",387.41,4.96
"deceive us, and who was clever enough to do it.",392.37,2.34
"Descartes didn’t exactly think such a being
was likely to exist. But he realized there",394.71,3.22
"was no way to rule out his existence. And
as long as an Evil Genius was possible, he worried",397.93,4.75
"that we were all stuck. Stuck in a radical skepticism, in which we really cannot trust any of our beliefs.",402.68,6.34
"Everything we believe, every sense experience, every thought, they could all have been put in our minds",409.02,5.62
"by the Evil Genius, who created an illusory world so seamless, we’d have no way of detecting the illusion.",414.64,6.76
"Just like the machines created for the characters
in The Matrix.",421.4,3.3
Descartes was at the point of despair.,424.7,2.42
But then...he realized something.,427.12,2.04
He had cause to doubt everything.,429.16,2.42
Everything EXCEPT the fact that he was doubting.,431.58,3.26
"He knew he was doubting. He could be sure
of that.",434.84,2.72
"And if he was doubting, then he must exist
– at least as a thinking thing.",437.56,4.64
"After all, a doubt is a thought, and if there is thought, there must be a thinker having those thoughts.",442.2,5.08
"So Descartes decided that he couldn’t know
that he had a body – what he believed to",447.28,4.08
"be his body could’ve been part of the Evil Genius’ deception. But he must have had a mind,",451.37,4.93
"or he couldn’t have been having these thoughts.
This was Descartes’s ah-ha moment.",456.3,3.76
"In his book, Meditations on First
Philosophy, he declared:",460.06,3.24
"Cogito ergo sum.
“I think, therefore, I am.”",463.3,3.5
"It’s one of the most famous realizations
in philosophy – I cannot doubt my own existence.",466.8,5.14
"I can doubt everything else, but I can’t
doubt I am, bare minimum, a mind having thoughts.",471.94,6.16
"This was Descartes’ foundational belief,
the first belief he put back in his apple basket.",478.1,4.62
"And from there, he figured he could
build back up to more certain beliefs.",482.72,3.16
"Once he was certain that he was a thinking
thing, he began examining his thoughts.",485.88,4.02
"And one of his most clear thoughts – what he called
a clear and distinct idea – was that God exists.",489.91,5.37
"He gave an argument for this – which we’re
going to examine in a later episode.",495.28,3.38
"But for now, take my word for it – it’s
got some problems.",498.66,2.66
"And from there, he considered his beliefs about the physical world, and concluded that it, too, actually exists.",501.32,5.56
"Ultimately, he determined, God wouldn’t
allow him to have clear and distinct ideas",506.88,4.04
"that were false, without some way to detect
his own error. So, he concluded, the Evil",510.92,4.659
"Genius is not actually fabricating lies that
consume our every waking moment.",515.579,4.221
"Descartes managed to reason from “cogito”
all the way back up to having basically all",519.8,4.139
"the beliefs he started with, back in his apple
basket.",523.939,2.83
"Which is the story of how Rene Descartes, with the power of skepticism, defeated the threat of the Evil Genius.",526.769,5.951
"Much like how Neo ultimately short-circuited the Matrix, though considerably less impressive to watch, I imagine.",532.72,5.64
"He found certainty through his discovery of
the one belief that he simply couldn’t doubt",538.36,4.2
– his own existence as a thinking thing.,542.56,2.329
"But, there is a lot of debate among philosophers
as to whether Descartes actually manages to",544.889,4.161
"justifiably believe anything other than
that he exists as a thinking thing.",549.05,4.59
And we’ll talk more about that more next time.,553.64,2.06
"This episode of Crash Course Philosophy is
made possible by Squarespace. Squarespace",555.7,3.66
"is a way to create a website, blog or online
store for you and your ideas. Squarespace",559.37,4.659
"features a user-friendly interface, custom
templates and 24/7 customer support. Try Squarespace",564.029,5.17
"at squarespace.com/crashcourse for a special
offer.",569.199,3.531
"Crash Course Philosophy is produced in association
with PBS Digital Studios. You can head over",572.73,4.02
"to their channel to check out amazing shows like Deep Look, The Good Stuff, and PBS Space Time.",576.75,5.71
"This episode of Crash Course was filmed in
the Doctor Cheryl C. Kinney Crash Course Studio",582.46,3.64
"with the help of all of these amazing people
and our Graphics Team is Thought Cafe.",586.11,4.5
