text,start,duration
"our minds, Locke argued -- they’re actually
in the stuff. These primary qualities include",225.46,4.55
"things like solidity -- the density, weight,
and mass of an object. And also extension",230.01,4.83
"-- the height, depth, and width that a certain
thing has. He also included figure, or the",234.84,4.56
"shape of an object, as well as mobility, which
is this – whether it’s stationary or in motion.",239.4,5.58
"So primary qualities, Locke said, belong to
the thing itself.",244.98,3.76
"Take this apple. It weighs maybe 150 grams,
is the size of my palm, roundish, but firm,",248.74,5.26
"with the slightest bit of give, and right
now it’s moving through the air.",254.0,3.48
Those are its primary qualities.,257.48,1.58
"But it has secondary qualities, too.",259.06,1.8
"And by Locke’s standards, they are not real.
At least not in any objective, agreed-upon way.",260.86,4.76
"They’re just in our minds. But they
get there through the primary qualities.",265.62,4.22
"I’m talking about things like its color, taste,
texture, smell, and sound.",269.84,3.93
"The secondary qualities of this apple are
its redness, and how it tastes and smells",273.77,3.699
"and feels on my tongue and hand. Even how
it sounds when I bite into it.",277.469,5.07
"Locke believed that the distinction between
primary and secondary qualities explained",282.539,3.551
"the disagreements that we all have about our
perceptions of the outside world.",286.09,3.759
"Like, we could measure this apple in a bunch
of ways and all agree on its primary qualities,",289.849,4.19
"but its secondary qualities would no doubt
lead to some disputes.",294.039,3.28
"Like, is it really red? What kind of red exactly?
Cardinal red? Or carmine red? It’s kind",297.319,4.97
"of dark purple at the top -- or is it just
like a dark pink?",302.289,3.111
"What about the sound it made? Would I call that
crunchy? Or crispy? Or...bite-y? It’s like, apple sound.",305.4,5.48
"We could argue about that kind of stuff til
the cows came home.",310.88,2.64
"But if we disagree about its primary qualities
– one of us is simply wrong. Because primary",313.52,4.619
"qualities have nothing to do with you, or me. Instead they have everything to do with the object itself.",318.139,5.78
"Locke’s reasoning was simple, even elegant,
extracting a lot of explanatory power out",323.919,4.411
"of very few basic concepts. As a result, it
resonated with a lot people.",328.33,4.079
"And one person it resonated strongly with
was the Irish philosopher George Berkeley.",332.409,4.32
"He was moved by Locke’s empiricism and took
it seriously -- so seriously, in fact, that",336.729,4.571
"ended up using Locke’s own logic against
him.",341.3,2.79
"He basically took empiricism to its logical
conclusion, dismantling the whole process",344.09,4.47
"of perception to the point that he had to
wonder whether anything existed at all.",348.56,4.599
Berkeley began by taking apart the distinction that Locke made between primary and secondary qualities.,353.159,4.4
"Like, think about this apple again. How do
you know its shape?",357.56,3.52
"Locke said that the apple’s shape, as a
primary quality, is immediately perceivable.",361.09,3.889
"But Berkeley pointed out that you don’t
perceive some qualities of an object, while",364.979,3.28
"totally disregarding others. Like, you can’t
detect an apple’s shape without first --",368.259,3.8
"or at least without also -- detecting its color.
When you think about it, you can’t detect",372.06,3.56
"any of the primary qualities without also
considering the secondary ones.",375.629,3.611
"You can’t see a colorless apple.
You can’t feel a textureless apple.",379.24,3.759
"In fact, if you try to strip away the apple’s
secondary qualities in an effort to get at",382.999,3.66
"the primary ones, you end up with no apple
at all.",386.659,2.87
"Try it: Close your eyes and imagine an apple
made of only primary qualities -- so, it has",389.529,3.82
"a certain shape and a certain size, but it
doesn’t have any color or texture or taste.",393.349,4.69
You can’t do it.,398.039,0.921
"You try to imagine it with no color, but really,
you’re probably imagining one that’s either",398.96,3.44
"black or white or transparent -- the color
of what’s behind it.",402.4,3.069
"And if you try to imagine it as having no
texture, you’ll find there’s still a texture",405.469,3.521
there – it’s just smooth.,408.99,1.539
"Remember: Locke asserted that secondary qualities
are not objectively real. They can only be",410.529,4.23
"subjectively perceived. But now, Berkeley
has shown that the two are inextricably linked",414.759,5.011
– you can’t have one without the other.,419.77,2.1
"Which means that primary qualities can’t
be real, either. They, too, are just what",421.87,4.549
your mind makes of things.,426.419,1.671
"So this led Berkeley to a startling conclusion:
There’s just no such thing as matter.",428.09,5.34
"There can’t be! Instead, there’s only
perceptions.",433.43,3.42
"Berkeley’s famous assertion --
his version of cogito ergo sum --",436.85,3.45
"was esse est percepi:
“to be is to be perceived.”",440.309,3.69
"In his opinion, there are no objects, only
perceivers – and even then, the perceivers",443.999,4.53
"themselves don’t really have any physical
form. They’re just disembodied minds perceiving",448.529,5.621
things that aren’t really there.,454.15,1.949
"A little bit terrifying when you start thinking
about it.",456.099,2.59
"In Berkeley’s scenario, we’re all set
adrift in a world of nothing but thought.",458.689,3.97
"What’s scary about it is this, if everything’s
just perception, then when the perception",462.659,4.0
"goes away, there can’t be anything left.",466.659,2.421
"So like, please, for the love of Pete, do
not turn away from your computer! If you stop",469.08,3.82
"perceiving me, I stop existing!",472.9,2.25
"But, what if maybe you don’t care about
me? Still, you’d better not go to sleep,",475.15,3.229
"because as soon as you do, you’ll cease
to exist! Because, you won’t be able to",478.379,3.241
"perceive yourself! The only guarantee that
you’ll continue to exist in your sleep is",481.62,4.03
"to have a friend watch you when you’re sleeping. Which probably is a non-starter, for a number of reasons.",485.65,5.47
"But in any case, the second your
friend blinks, you’re gone!",491.12,2.68
"So in the end, Berkeley believed there was
only one thing that kept us --",493.809,3.26
and everything else -- from disappearing into oblivion.,497.069,2.87
"God.
Berkeley believed that God was the Ultimate Perceiver.",499.939,3.48
"God is always watching, with unblinking perception that holds objects in existence even when we’re not paying attention.",503.43,6.38
"The tough thing about Berkeley is, we all
pretty much think he has to be wrong.",509.81,3.9
Very few of us are willing to give up our belief in the physical world — no matter who’s watching.,513.71,4.79
"We are sensory animals!
We really need this apple to exist.",518.5,3.36
"Next time, we’re going to take a side journey
into the world of knowledge. And then, in",521.87,3.27
"episode 8, we’ll see if Karl Popper can
manage to get the physical world back for us.",525.14,4.54
"Today we have learned about empiricism as
a response to skepticism. We talked about",529.71,3.98
"John Locke and his distinction between primary
and secondary qualities. And we’ve seen",533.69,4.43
"why George Berkeley thinks that distinction
ultimately falls apart -- leaving us with",538.12,4.25
"literally nothing but our minds, ideas, and
perceptions.",542.37,3.84
"This episode of Crash Course Philosophy is
made possible by Squarespace. Squarespace",546.21,3.87
"is a way to create a website, blog or online
store for you and your ideas. Squarespace",550.08,4.51
"features a user-friendly interface, custom
templates and 24/7 customer support. Try Squarespace",554.59,5.41
"at squarespace.com/crashcourse for a special
offer.",560.0,3.22
"Crash Course Philosophy is produced in association
with PBS Digital Studios. You can head over",563.22,3.78
"to their channel to check out some amazing shows like Idea Channel, The Art Assignment, and Gross Science",567.0,5.32
"This episode of Crash Course was filmed in
the Doctor Cheryl C. Kinney Crash Course Studio",572.33,3.56
with the help of these awesome people and our equally fantastic graphics team is Thought Cafe.,575.89,5.26
