text,start,duration
"Gorgias’ gossip didn’t go over well with
everyone, and in this instance, let’s say",485.96,3.94
you are skeptical about it too.,489.9,1.84
So you counter my counterargument with a counter-counterargument.,491.74,3.54
"Gorgias was known for being a gossip, and
for hating Socrates, and trying to make him",495.28,3.56
"look bad. His fake beard tale seems wildly
unlikely. Therefore, we can’t take Gorgias’",498.84,5.36
"statement seriously, so we should fall back
on the best information we have, which is",504.2,3.68
"that most of the men in his time and place
had beards.",507.88,2.99
"And as you can see, arguments of different
styles can be used in the same exchange.",510.87,3.69
"Like, the original argument, about Socrates
probably having a beard, was inductive.",514.56,3.66
"But this last counterargument is abductive.
And that’s fine.",518.22,3.46
"Arguments are meant to be useful, so we don’t have
to use the same kind of reasoning when we argue.",521.68,4.6
"This way of exchanging ideas through dialogue
was popularized by Socrates, and so has become",526.28,4.62
known as the Socratic method.,530.91,1.89
"Socrates thought dialogue was the best way
to learn, and to get at truth.",532.8,3.789
"And it’s important to note that, while philosophers
have a reputation for being an argumentative",536.589,4.17
"lot, they don’t think of the Socratic method as
something that results in a winner and a loser.",540.759,4.46
"Rather, it’s an exercise that brings both
interlocutors closer to the truth.",545.23,4.219
"The goal of the philosopher is not to win,
but to find truth, so you shouldn’t be disappointed",549.449,4.51
"if someone presents a counterargument that
you can’t find a response to.",553.959,3.14
"When that happens, a good philosopher will
be grateful to their interlocutor for helping",557.1,4.2
"them reject false beliefs and build stronger
ones.",561.3,2.84
"Today you learned about two more types of
philosophical reasoning, induction and abduction.",564.14,4.319
"You’ve seen their strengths, and their weaknesses.
And you’ve also learned about counterarguments,",568.459,4.58
and the Socratic method.,573.04,1.38
"This episode is brought to you by Squarespace.
Squarespace helps to create websites, blogs",574.43,5.199
"or online stores for you and your ideas. Websites
look professionally designed regardless of",579.629,4.931
"skill level, no coding required. Try Squarespace at
squarespace.com/crashcourse for a special offer.",584.56,6.24
"Crash Course Philosophy is produced in association
with PBS Digital Studios. You can head over",590.8,4.4
"to their channel to check out amazing shows like
BrainCraft, It’s OK To Be Smart, and PBS Idea Channel.",595.2,5.52
"This episode was filmed in the Doctor Cheryl
C. Kinney Crash Course Studio with the help",600.72,3.419
"of these amazing people and our Graphics Team
is Thought Cafe.",604.139,3.98
