text,start,duration
"the classic definition of belief itself. Based
on the lingo you’ve learned so far today,",214.56,4.86
"belief is just when you take a propositional
attitude of truth.",219.42,2.959
"I believe that this is a cat, if I think it’s
true – that is, if my attitude is that the",222.379,4.08
"assertion corresponds to reality. And even
if I’m wrong -- even if there were an aardvark",226.459,4.06
"on my desk, or if there weren’t a cat on
my desk at all, which there isn’t anymore",230.519,3.84
"-- if I really thought there was a cat on
my desk, that would just be my belief.",234.359,4.22
"My propositional attitude, in other words,
is what determines if I have a belief.",238.579,3.821
"What all this means is that I, like everyone
else, can have false beliefs. Simply thinking",242.4,4.16
"something doesn’t make it correspond to
reality, which is what’s needed for truth.",246.56,3.799
"But of course, the fun of arguing is showing
off what you know to other people, or at least",250.359,4.21
"producing really clever evidence to support
your case.",254.569,2.691
"So, this raises the question of what it means to actually know something, in the philosophical sense.",257.26,4.44
"The traditional definition of knowledge is
that it’s a justified true belief.",261.7,4.1
Note that there are three separate components here.,265.8,2.22
"So, I have knowledge that this is a cat if:
I first believe i’s a cat",268.03,4.25
"And also that it is in fact a cat – that
is, my belief corresponds to reality and is",272.28,5.33
"therefore true. And finally, I can be said
to have knowledge about this cat if my belief",277.61,3.78
"is justified – meaning, I have some sort
of legitimate evidence to support my belief.",281.39,4.15
"Now, we’ve already defined truth and belief.
Justification is simply evidence, or other",285.54,4.65
"support, for your belief. If you remember
back to episode 2, you’ll recall that premises",290.19,4.14
"offer justification for conclusions. And justification
can come in a variety of forms. Most often,",294.33,4.9
"it comes about through testimony – just
taking someone’s word for it. Not all testimony",299.23,3.93
"is strong, or trustworthy, of course. But
if it comes from someone who’s an expert",303.16,3.75
"on the topic in question, you might consider
the testimony to be reliable.",306.91,3.02
"And the fact is, most of what you know about
the world, you learned through testimony.",309.93,4.68
"You took your teachers’ word for it when
they were teaching you stuff, and the same",314.61,3.19
"goes for every book you’ve ever read and
every news report you’ve ever seen. They’re",317.8,4.22
"all just forms of testimony, which you accepted as justification for your knowledge, and your beliefs.",322.02,4.84
"But justification can come in other forms,
too. Another common type is first person observation",326.86,4.42
– information you acquire through your senses.,331.28,2.33
"If I believe that a cat is a cat, because
I already have robust and well-informed beliefs",333.61,4.05
"about cats, then, having had extensive experience
with them in the past, I’m identifying the",337.66,4.68
"cat as a cat through my direct contact with
it",342.34,2.67
"It looks, feels, acts like a cat. Ergo: cat!",345.01,3.71
"But! Philosophy wouldn’t be any fun if the
key to knowledge were that easy, right?",348.72,3.58
"Until American philosopher Edmund Gettier
came along in the 1960s, philosophers were",352.3,4.16
"in pretty widespread agreement about the definition
of knowledge -- that it’s justified true belief.",356.46,5.42
"Because, you can believe any old thing, but
in order to know something, it just makes",361.88,4.42
"sense that you must also have evidence for
your belief, and it must be true. In other",366.3,4.26
"words, you can have a false belief, but you
can’t have false knowledge. And if something",370.56,3.87
"you thought you knew turns out not to be true, then the fact is, you never actually knew it, you just believed it.",374.43,5.66
"And likewise, you might happen to hold a true belief, but if you don’t have any justification for it, if you",380.09,4.85
"just accidentally happened to be right, which happens sometimes – that doesn’t count as knowledge, either.",384.94,5.2
"Enter Edmund Gettier. Gettier wrote a short
but fabulously influential paper that turned",390.15,4.28
"the standard understanding of knowledge upside
down.",394.43,2.6
"He did this by proposing what came to be known
as Gettier cases – situations in which one",397.03,4.52
"can have justified true belief, but not knowledge.",401.55,3.39
"Which brings us to this week’s Flash Philosophy!
Let’s go to the Thought Bubble.",404.94,3.35
"Here’s one of Gettier’s original cases.
Smith and Jones have both applied for the same job.",408.29,4.95
The president of the company told Smith that Jones will get the job. This counts as evidence;,413.24,4.54
the president of the company would seem to be a reliable source of this information.,417.78,3.72
"Meanwhile, Smith counts the coins
in Jones’ pocket and sees that there are",421.5,3.5
"ten coins in there. Smith then forms a belief,
based on his first person observational evidence",425.01,4.99
"of the coins, as well as the testimony of
the company president.",430.0,2.69
"He comes to believe that: The person who gets
the job has 10 coins in his pocket.",432.69,3.87
"But, it turns out, the testimony of the president
was false, and it’s Smith, not Jones, who gets the job.",436.56,5.1
"AND, it just so happens, unbeknownst to Smith,
that he also has 10 coins in his own pocket.",441.66,5.99
"So, Smith has a belief – that the person
who gets the job has 10 coins in his pocket.",447.65,4.41
"And that is justified – because he counted
Jones’ coins, and the president told him",452.06,4.54
"Jones was getting the job. And his belief
also turns out to be true – the person who",456.6,4.29
got the job did have 10 coins in his pocket.,460.89,2.6
"However, neither pieces of justification actually
pointed Smith to the right answer. The president’s",463.49,4.41
"testimony was wrong, and the 10 coins that
he saw were in Jones’ pocket, not his own.",467.9,4.46
"So it seems Smith simply lucked into being
right.",472.36,3.22
"Gettier argued that we now have a case of
justified true belief that is not knowledge.",475.58,4.99
"As he pointed out, you don’t KNOW something
if you simply stumbled into the right answer.",480.57,3.91
"Thanks Thought Bubble, the philosophical world
was turned upside down by this idea, and philosophers",484.48,4.96
"– loving a good counterexample – began
generating their own Gettier cases.",489.44,3.55
"American philosopher Roderick Chisholm proposed
this one:",492.99,2.56
"Looking across a field, you see an object
that looks like a sheep, and you form the",495.55,3.59
belief that “there is a sheep in the field.”,499.14,2.09
"It turns out that the object you see is actually
a dog.",501.23,2.35
"Yet, there is also a sheep, obscured from
your vision by a hill.",503.58,3.17
"So, you have a justified true belief, but
the justification for your belief -- the object",506.75,3.95
"that you saw – is not a sheep. You just
lucked into being right.",510.7,3.13
"Once you understand how it works, it’s pretty
easy to generate Gettier cases of your own.",513.83,3.369
And many philosophers today think that Gettier successfully destroyed the “justified true belief” definition of knowledge.,517.199,4.78
"But even though the 1960s might seem long
ago to you, remember: philosophers are in",521.979,4.22
"the business of having millennia-long debates
about stuff. So it shouldn’t surprise you",526.199,4.341
"that the philosophical debate about this is
still a-raging.",530.54,2.899
"But if knowledge is not justified true belief,
then…whaaat is it?",533.439,4.731
"Next time, we will look at one possible answer.",538.17,2.219
"In the meantime, you learned about some of
the key concepts we use when discussing belief",540.389,3.99
"and knowledge. You learned what defines an
assertion and a proposition, and that belief",544.379,5.13
"is a kind of propositional attitude. We also
learned about forms of justification and the",549.509,4.221
"traditional definition of knowledge, which Edmund Gettier just totally messed with, using his Gettier cases.",553.73,5.36
"And the cat did not pee on my desk! Because
the cat was unable to spend any time at all",559.09,5.07
"on my desk. So it turns out the assertion
that I made was false.",564.16,3.349
"But it is a true assertion that this episode
was brought to you by Squarespace. Squarespace",567.509,4.14
"helps to create websites, blogs or online
stores for you and your ideas. Websites look",571.649,4.711
"professionally designed regardless of skill
level, no coding required. Try Squarespace",576.36,4.87
"at squarespace {dot com} {forward slash} crash
course for a special offer.",581.23,3.599
"Crash Course Philosophy is produced in association
with PBS Digital Studios. You can head over",584.829,3.921
"to their channel to check out amazing shows
like Game/Show, The Chatterbox, and Physics Girl",588.75,4.319
"This episode of Crash Course was filmed in
the Doctor Cheryl C. Kinney Crash Course Studio",593.069,3.471
with the help of these awesome people and our equally fantastic graphics team is Thought Cafe.,596.54,4.64
