text,start,duration
"Next, Popper argued that the only genuine test of a theory is one that’s attempting to falsify it.",314.54,5.32
"So, if you were to test for Santa’s reality, your method would require you to try to prove that he doesn’t exist,",319.86,5.34
"rather than proving that he does. So, you stay up all night, waiting to catch him delivering his presents.",325.2,4.62
"This is risky, because if the person who actually shows up to put presents under the tree is your Dad,",329.82,4.68
then you’ve destroyed the Santa hypothesis.,334.5,2.14
"On a very similar note, Popper also pointed
out that irrefutable theories are not scientific.",336.64,4.76
"If it can’t be tested, then your theory
doesn’t have much value.",341.4,2.84
"Like, you can only confirm that Santa is real
by doing everything in your power to prove",344.24,4.46
"that he’s imaginary, and then failing to
do so. So you need to be tugging on Santa",348.71,4.29
"beards at the mall. You need to investigate
reports of Santa sightings, and other weirdoes",353.0,4.26
"caught breaking into peoples’ houses through
their chimneys. If you want to be able to",357.26,3.44
"really trust in your belief in Santa, in a
genuinely scientific way, you need to put",360.7,4.29
"your belief to the test, in every way you
can imagine.",364.99,3.18
"This is where Popper says that you have earned
the right to call a theory scientific.",368.17,4.03
"And finally, once you’ve disproven your theory, Popper said, you need to be willing to give it up.",372.2,4.76
"I mean, you can still cling to the Santa myth, even after catching your Dad putting gifts under the tree,",376.96,4.78
"by accepting his lie that Santa had dropped the gifts off earlier, and that he was just “helping.”",381.74,4.68
"But, if you’re a scientist, you’re gonna
have to be willing to let your beliefs go.",386.42,3.9
Accept the evidence. Move on.,390.32,2.04
"And this is the modern scientific thinking that we
accept today: Testable, refutable, falsifiable.",392.37,5.41
"You don’t seek to prove scientific hypotheses
right, you only prove them wrong.",397.78,4.38
"A lot of this might seem so obvious that maybe
you’re wonder why we’re talking about it.",402.16,4.02
"But that’s how right Popper was – he
was one of those rare philosophers who actually",406.18,4.38
"managed to hit on an idea so right that we don’t
even really argue about it anymore.",410.56,4.78
"So, it sounds like I’ve been talking mainly
about science all this time. But Popper and",415.34,3.49
"his insights actually tell us a lot about
knowledge, in the philosophical sense.",418.83,3.94
"For Popper, knowledge was about probability
and contingency. We are justified in believing",422.77,4.35
"whatever seems most probable given our current
data. And we should always be willing to revise",427.12,4.96
"our beliefs in the light of new evidence. In other words, our belief should be contingent on the data themselves.",432.08,5.72
"This wouldn’t have satisfied Descartes,
who was always concerned about certainty.",437.8,3.5
"But Popper never thought that certainty was
possible in the first place. If anything,",441.3,3.86
"he thought being certain of something
causes you to close your mind, and that’s",445.16,4.02
"not what we want. Always remaining open to
the idea that your current beliefs might be",449.18,3.85
"wrong is the best way to get ever closer to
truth.",453.03,2.58
So where does this leave us?,455.61,1.25
"Remember, we started out trying to prove that
we know the things we thought we knew. But",456.87,4.13
"you have to be open to the idea that your
beliefs might be false -- because that’s",461.0,3.87
"the only way that holding onto them can really
mean anything. Otherwise, we’re all just",464.87,4.28
"believing whatever we want, with no grounds
for adjudicating between beliefs.",469.15,3.9
"You should keep that in mind, because that’s
the name of the game for the rest of this course.",473.05,3.23
"You only get to believe the things
you have reasons for, and we’re going to",476.28,2.84
"start with the area that is hardest for most
people – God. Hope to see you there.",479.12,4.68
"Today you learned about Karl Popper, and his
insights into science, pseudoscience, and",483.8,3.54
"knowledge -- which might best be summarized as science disconfirms, while pseudoscience confirms.",487.35,5.57
"This episode of Crash Course Philosophy is
made possible by Squarespace. Squarespace",492.92,3.76
"is a way to create a website, blog or online
store for you and your ideas. Squarespace",496.69,4.4
"features a user-friendly interface, custom
templates and 24/7 customer support. Try Squarespace",501.09,5.27
"at squarespace.com/crashcourse for a special
offer.",506.36,3.0
"Crash Course Philosophy is produced in association
with PBS Digital Studios. You can head over",509.36,4.09
"to their channel to check out amazing shows like Artrageous, The Good Stuff, and Blank on Blank.",513.45,4.65
"This episode of Crash Course was filmed in
the Doctor Cheryl C. Kinney Crash Course Studio",518.1,3.4
"with the help of these awesome people and
our equally fantastic graphics team is Thought Cafe.",521.5,4.92
